wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F011,0,0.8230412812784706,0.806157074384108,0.821982535506768,0.7992771623895778,0.0,0.7297197126763408,0.7838989149018749,0.8107966222197884
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F000,2,0.0,0.0,0.0,0.0,0.8340034464464878,0.3401123772469714,0.0,0.0
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F006,2,0.3944213712347371,0.3991933711257811,0.3932205634513357,0.4044024608699268,0.44396988862278874,0.3930768606400741,0.3711357848782768,0.4113555696605875
Ses01M_script01_1_F012,2,1.0,1.0000000000000004,1.0,0.9999999999999996,0.23304299166051834,0.751211202677347,1.0,0.9999999999999991
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F005,2,0.2897223609451314,0.3068831199849633,0.2885882406528113,0.31775345749151773,0.7130205264104355,0.5490996005570752,0.2841945702483273,0.3187025610925289
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F002,4,0.08077093062773155,0.08151164251764609,0.08040184078785062,0.08285484591093217,0.709466530027413,0.09453105640310522,0.07258988071592598,0.0860917147504674
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F010,4,0.6787667790455192,0.6746043613965966,0.6778138979253052,0.6750468620925889,0.1419889182291989,1.0,0.6473232294743063,0.683606584726542
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
Ses01M_script01_1_F001,4,0.04671774506221782,0.04576735318215697,0.04643320879473878,0.04589615504890432,0.6943829975569713,0.4205497809272605,0.040345093105295105,0.048189639805336526
Ses01M_script01_1_F003,4,0.123917070469997,0.14998033878897354,0.12364471299155344,0.16372765577465698,1.0,0.038619532655614464,0.13885294488138333,0.15818702665399975
